Telus,Farine Blanche,,2014-07-02,intro,1
Telus,Farine Blanche,,2014-07-02,telus,2
Telus,Farine Blanche,,2014-07-02,telus,2
Telus,Farine Blanche,,2014-07-02,cocaine,3
Telus,Farine Blanche,,2014-07-02,fuck,4
Telus,Farine Blanche,,2014-07-02,la,5
Telus,Farine Blanche,,2014-07-02,police,6
Telus,Farine Blanche,,2014-07-02,monsieur,7
Telus,Farine Blanche,,2014-07-02,nordsale,8
Telus,Farine Blanche,,2014-07-02,telus,8
Telus,Farine Blanche,,2014-07-02,telus,8
Telus,Farine Blanche,,2014-07-02,j'ai,9
Telus,Farine Blanche,,2014-07-02,d'la,10
Telus,Farine Blanche,,2014-07-02,j'ai,10
Telus,Farine Blanche,,2014-07-02,d'la,10
Telus,Farine Blanche,,2014-07-02,farine,11
Telus,Farine Blanche,,2014-07-02,blanche,12
Telus,Farine Blanche,,2014-07-02,d'la,12
Telus,Farine Blanche,,2014-07-02,farine,12
Telus,Farine Blanche,,2014-07-02,j'ai,12
Telus,Farine Blanche,,2014-07-02,d'la,12
Telus,Farine Blanche,,2014-07-02,farine,12
Telus,Farine Blanche,,2014-07-02,blanche,12
Telus,Farine Blanche,,2014-07-02,la,12
Telus,Farine Blanche,,2014-07-02,la,12
Telus,Farine Blanche,,2014-07-02,farine,12
Telus,Farine Blanche,,2014-07-02,blanche,12
Telus,Farine Blanche,,2014-07-02,fishscale,13
Telus,Farine Blanche,,2014-07-02,fishscale,13
Telus,Farine Blanche,,2014-07-02,tous,14
Telus,Farine Blanche,,2014-07-02,mes,15
Telus,Farine Blanche,,2014-07-02,fiends,16
Telus,Farine Blanche,,2014-07-02,dansent,17
Telus,Farine Blanche,,2014-07-02,tous,17
Telus,Farine Blanche,,2014-07-02,mes,17
Telus,Farine Blanche,,2014-07-02,fiends,17
Telus,Farine Blanche,,2014-07-02,dansent,17
Telus,Farine Blanche,,2014-07-02,j'ai,17
Telus,Farine Blanche,,2014-07-02,d'la,17
Telus,Farine Blanche,,2014-07-02,farine,17
Telus,Farine Blanche,,2014-07-02,blanche,17
Telus,Farine Blanche,,2014-07-02,d'la,17
Telus,Farine Blanche,,2014-07-02,farine,17
Telus,Farine Blanche,,2014-07-02,blanche,17
Telus,Farine Blanche,,2014-07-02,qu'est,18
Telus,Farine Blanche,,2014-07-02,ce,19
Telus,Farine Blanche,,2014-07-02,que,20
Telus,Farine Blanche,,2014-07-02,les,21
Telus,Farine Blanche,,2014-07-02,feds,22
Telus,Farine Blanche,,2014-07-02,en,23
Telus,Farine Blanche,,2014-07-02,pense,24
Telus,Farine Blanche,,2014-07-02,j'ai,24
Telus,Farine Blanche,,2014-07-02,d'la,24
Telus,Farine Blanche,,2014-07-02,farine,24
Telus,Farine Blanche,,2014-07-02,blanche,24
Telus,Farine Blanche,,2014-07-02,la,24
Telus,Farine Blanche,,2014-07-02,farine,24
Telus,Farine Blanche,,2014-07-02,blanche,24
Telus,Farine Blanche,,2014-07-02,fishscale,24
